User_ID,Book_ID,User_Type,Department,Book_Category,Book_Format,Interaction_Type,Access_Mode,Semester_Period,Borrowing_Frequency,Reading_Duration_Minutes,Books_Borrowed_Last_6_Months,Books_Returned_On_Time,Search_Count,Book_View_Count,Reservation_Count,Renewal_Count,User_Rating,Book_Popularity_Score,Metadata_Match_Score,Reading_Interest_Score,User_Book_Similarity_Score,Feedback_Score,Feedback_Level,Cold_Start_User,Irregular_Borrowing_Flag,Recommendation_Score,Recommendation_Level
USR_10001,BK_50001,Research_Scholar,Medicine,Education,Printed_Book,Reviewed,Web_Portal,Even_Semester,3,25.2,2,7,24,3,20,1,3.89,0.945,0.101,0.26,0.656,0.65,Medium,Yes,Yes,0.366,Low_Recommendation
USR_10002,BK_50002,Faculty,Law,Digital_Library,Reference_Book,Viewed,Digital_Kiosk,Odd_Semester,3,155.91,6,4,73,39,17,3,4.77,0.607,0.447,0.114,0.308,0.317,Low,No,No,0.518,Medium_Recommendation
USR_10003,BK_50003,Faculty,Education,Digital_Library,E_Book,Borrowed,Digital_Kiosk,Even_Semester,40,137.92,5,5,4,54,17,9,2.8,0.456,0.934,0.755,0.394,0.613,Medium,No,No,0.747,High_Recommendation
USR_10004,BK_50004,Undergraduate,Law,Data_Science,Journal,Reviewed,Digital_Kiosk,Even_Semester,25,56.32,28,14,45,65,6,8,4.09,0.279,0.105,0.834,0.736,0.756,High,No,Yes,0.48,Medium_Recommendation
USR_10005,BK_50005,Undergraduate,Medicine,Literature,Printed_Book,Viewed,Mobile_App,Odd_Semester,23,123.04,34,21,35,65,2,4,4.89,0.864,0.75,0.312,0.33,0.136,Low,No,Yes,0.535,Medium_Recommendation
USR_10006,BK_50006,Research_Scholar,Education,Literature,Printed_Book,Viewed,Library_System,Even_Semester,37,50.88,14,10,29,36,12,15,3.4,0.725,0.892,0.662,0.366,0.195,Low,No,No,0.7,High_Recommendation
USR_10007,BK_50007,Faculty,Science,Social_Science,Journal,Viewed,Library_System,Vacation_Period,1,54.81,3,24,77,105,2,6,1.66,0.581,0.536,0.245,0.342,0.32,Low,Yes,No,0.398,Low_Recommendation
USR_10008,BK_50008,Undergraduate,Management,Management,Reference_Book,Reserved,Web_Portal,Odd_Semester,37,56.99,16,16,2,2,4,15,4.63,0.316,0.23,0.541,0.987,0.318,Low,No,No,0.598,Medium_Recommendation
USR_10009,BK_50009,Research_Scholar,Computer_Science,Engineering,Reference_Book,Reviewed,Digital_Kiosk,Even_Semester,6,76.6,15,0,73,59,5,15,1.16,0.632,0.71,0.115,0.561,0.304,Low,No,No,0.483,Medium_Recommendation
USR_10010,BK_50010,Undergraduate,Law,Literature,E_Book,Borrowed,Web_Portal,Odd_Semester,25,43.96,30,29,42,99,6,11,1.7,0.984,0.565,0.335,0.997,0.969,High,No,No,0.633,Medium_Recommendation
USR_10011,BK_50011,Research_Scholar,Computer_Science,Law,Journal,Renewed,Digital_Kiosk,Vacation_Period,3,160.58,4,23,75,113,7,3,4.59,0.646,0.108,0.19,0.697,0.105,Low,Yes,No,0.548,Medium_Recommendation
USR_10012,BK_50012,Undergraduate,Medicine,Artificial_Intelligence,E_Book,Reviewed,Digital_Kiosk,Vacation_Period,3,121.11,32,11,59,115,13,13,4.89,0.454,0.903,0.668,0.815,0.552,Medium,No,No,0.744,High_Recommendation
USR_10013,BK_50013,Undergraduate,Medicine,Digital_Library,Reference_Book,Renewed,Digital_Kiosk,Odd_Semester,1,179.06,2,28,46,117,5,2,3.99,0.958,0.398,0.168,0.615,0.982,High,Yes,No,0.582,Medium_Recommendation
USR_10014,BK_50014,Undergraduate,Management,Engineering,E_Book,Renewed,Digital_Kiosk,Even_Semester,24,43.93,21,1,27,106,1,9,3.96,0.727,0.732,0.424,0.364,0.828,High,No,No,0.598,Medium_Recommendation
USR_10015,BK_50015,Undergraduate,Medicine,Social_Science,Journal,Borrowed,Digital_Kiosk,Odd_Semester,20,119.79,15,13,76,115,14,11,3.32,0.495,0.705,0.395,0.24,0.984,High,No,No,0.663,Medium_Recommendation
USR_10016,BK_50016,Undergraduate,Medicine,Social_Science,E_Book,Renewed,Digital_Kiosk,Odd_Semester,33,150.39,4,3,6,109,19,13,3.16,0.674,0.753,0.978,0.565,0.391,Low,No,No,0.863,High_Recommendation
USR_10017,BK_50017,Faculty,Management,Literature,E_Book,Reviewed,Mobile_App,Odd_Semester,23,81.67,11,4,1,58,0,14,2.0,0.594,0.743,0.694,0.352,0.959,High,No,No,0.571,Medium_Recommendation
USR_10018,BK_50018,Postgraduate,Arts,Literature,Journal,Viewed,Mobile_App,Vacation_Period,2,28.67,1,13,69,47,16,13,4.42,0.733,0.527,0.48,0.542,0.526,Medium,Yes,No,0.559,Medium_Recommendation
USR_10019,BK_50019,Faculty,Management,Management,Journal,Reserved,Mobile_App,Vacation_Period,3,155.32,4,4,4,16,15,6,4.78,0.88,0.673,0.35,0.709,0.616,Medium,Yes,No,0.617,Medium_Recommendation
USR_10020,BK_50020,Undergraduate,Computer_Science,Education,E_Book,Renewed,Digital_Kiosk,Odd_Semester,13,44.91,1,0,35,87,16,9,2.28,0.86,0.121,0.833,0.354,0.206,Low,No,No,0.551,Medium_Recommendation
USR_10021,BK_50021,Undergraduate,Law,Management,Printed_Book,Reviewed,Library_System,Odd_Semester,36,38.52,8,7,64,99,16,2,2.65,0.435,0.799,0.407,0.938,0.873,High,No,No,0.648,Medium_Recommendation
USR_10022,BK_50022,Undergraduate,Engineering,Law,E_Book,Borrowed,Library_System,Even_Semester,20,150.15,21,12,59,19,16,3,1.04,0.915,0.182,0.387,0.955,0.956,High,No,No,0.546,Medium_Recommendation
USR_10023,BK_50023,Undergraduate,Arts,Digital_Library,Reference_Book,Borrowed,Digital_Kiosk,Vacation_Period,2,137.41,1,15,57,39,12,4,2.98,0.152,0.595,0.347,0.899,0.416,Medium,Yes,Yes,0.439,Low_Recommendation
USR_10024,BK_50024,Research_Scholar,Science,Education,E_Book,Borrowed,Mobile_App,Vacation_Period,2,21.99,18,7,65,86,19,0,4.79,0.987,0.778,0.439,0.175,0.799,High,No,No,0.542,Medium_Recommendation
USR_10025,BK_50025,Postgraduate,Engineering,Literature,E_Book,Renewed,Library_System,Odd_Semester,28,106.29,19,7,61,105,6,0,3.72,0.314,0.46,0.53,0.175,0.576,Medium,No,No,0.534,Medium_Recommendation
USR_10026,BK_50026,Undergraduate,Law,Medical_Science,Reference_Book,Reviewed,Web_Portal,Odd_Semester,36,103.26,19,17,47,105,16,13,2.18,0.996,0.727,0.446,0.763,0.924,High,No,Yes,0.727,High_Recommendation
USR_10027,BK_50027,Faculty,Medicine,Medical_Science,Reference_Book,Reserved,Digital_Kiosk,Even_Semester,8,68.78,27,27,41,100,16,8,2.24,0.832,0.716,0.246,0.92,0.84,High,No,No,0.616,Medium_Recommendation
USR_10028,BK_50028,Research_Scholar,Computer_Science,Data_Science,E_Book,Reserved,Web_Portal,Odd_Semester,5,12.54,3,0,18,96,14,0,2.51,0.775,0.454,0.425,0.612,0.157,Low,Yes,Yes,0.339,Low_Recommendation
USR_10029,BK_50029,Postgraduate,Engineering,Medical_Science,Journal,Reviewed,Library_System,Odd_Semester,3,154.14,2,13,73,110,0,2,2.1,0.287,0.89,0.223,0.142,0.342,Low,Yes,No,0.446,Low_Recommendation
USR_10030,BK_50030,Undergraduate,Science,Medical_Science,E_Book,Renewed,Library_System,Odd_Semester,23,137.88,20,13,66,75,18,6,1.55,0.113,0.416,0.631,0.453,0.494,Medium,No,No,0.563,Medium_Recommendation
USR_10031,BK_50031,Postgraduate,Computer_Science,Education,Journal,Viewed,Mobile_App,Vacation_Period,42,156.33,4,4,4,10,16,9,4.08,0.16,0.141,0.659,0.413,0.288,Low,No,No,0.629,Medium_Recommendation
USR_10032,BK_50032,Research_Scholar,Computer_Science,Literature,Journal,Renewed,Mobile_App,Odd_Semester,3,158.38,26,17,61,51,18,4,1.68,0.351,0.259,0.18,0.209,0.515,Medium,No,No,0.418,Low_Recommendation
USR_10033,BK_50033,Postgraduate,Management,Law,E_Book,Borrowed,Web_Portal,Odd_Semester,22,22.06,29,10,63,48,16,9,4.47,0.176,0.638,0.988,0.583,0.932,High,No,No,0.607,Medium_Recommendation
USR_10034,BK_50034,Postgraduate,Law,Data_Science,Printed_Book,Reserved,Mobile_App,Vacation_Period,7,126.19,22,13,18,38,2,2,1.97,0.342,0.44,0.118,0.39,0.29,Low,No,Yes,0.238,Low_Recommendation
USR_10035,BK_50035,Faculty,Computer_Science,Management,E_Book,Renewed,Library_System,Odd_Semester,18,22.95,21,1,8,40,16,11,1.51,0.355,0.427,0.681,0.614,0.42,Medium,No,No,0.498,Medium_Recommendation
USR_10036,BK_50036,Undergraduate,Arts,Engineering,Printed_Book,Viewed,Mobile_App,Vacation_Period,30,37.82,8,6,3,115,7,4,4.93,0.201,0.458,0.973,0.879,0.835,High,No,No,0.653,Medium_Recommendation
USR_10037,BK_50037,Research_Scholar,Science,Law,E_Book,Renewed,Digital_Kiosk,Even_Semester,45,140.35,5,1,68,19,19,0,3.94,0.577,0.737,0.791,0.179,0.555,Medium,No,No,0.685,Medium_Recommendation
USR_10038,BK_50038,Research_Scholar,Computer_Science,Engineering,E_Book,Reserved,Library_System,Vacation_Period,10,178.27,12,7,2,84,0,14,3.73,0.784,0.636,0.524,0.471,0.414,Medium,No,No,0.662,Medium_Recommendation
USR_10039,BK_50039,Faculty,Management,Medical_Science,Reference_Book,Renewed,Library_System,Even_Semester,12,73.23,0,0,40,64,7,10,4.18,0.281,0.247,0.248,0.833,0.699,Medium,No,No,0.505,Medium_Recommendation
USR_10040,BK_50040,Undergraduate,Management,Law,E_Book,Renewed,Library_System,Even_Semester,33,136.59,14,0,25,17,0,14,2.54,0.589,0.916,0.662,0.205,0.946,High,No,No,0.624,Medium_Recommendation
USR_10041,BK_50041,Faculty,Medicine,Artificial_Intelligence,Reference_Book,Renewed,Digital_Kiosk,Odd_Semester,38,137.41,26,22,33,68,1,9,2.98,0.779,0.193,0.583,0.441,0.511,Medium,No,No,0.624,Medium_Recommendation
USR_10042,BK_50042,Faculty,Arts,Management,Reference_Book,Reviewed,Mobile_App,Vacation_Period,2,110.93,0,35,26,43,4,3,1.73,0.918,0.625,0.202,0.516,0.953,High,Yes,No,0.431,Low_Recommendation
USR_10043,BK_50043,Faculty,Medicine,Management,Reference_Book,Viewed,Library_System,Odd_Semester,8,120.04,27,25,9,118,18,12,1.42,0.856,0.92,0.211,0.312,0.249,Low,No,No,0.652,Medium_Recommendation
USR_10044,BK_50044,Undergraduate,Education,Engineering,Journal,Renewed,Digital_Kiosk,Vacation_Period,21,73.24,8,3,57,117,8,2,2.59,0.584,0.928,0.412,0.412,0.764,High,No,No,0.581,Medium_Recommendation
USR_10045,BK_50045,Faculty,Engineering,Digital_Library,E_Book,Borrowed,Web_Portal,Even_Semester,24,61.57,28,10,22,26,17,4,3.06,0.978,0.513,0.602,0.875,0.582,Medium,No,No,0.617,Medium_Recommendation
USR_10046,BK_50046,Faculty,Arts,Literature,Journal,Renewed,Digital_Kiosk,Vacation_Period,5,88.54,2,15,40,19,17,0,4.1,0.508,0.572,0.249,0.461,0.604,Medium,Yes,No,0.452,Medium_Recommendation
USR_10047,BK_50047,Postgraduate,Engineering,Data_Science,Reference_Book,Borrowed,Web_Portal,Vacation_Period,28,152.44,6,4,8,65,2,7,1.78,0.555,0.636,0.405,0.612,0.899,High,No,No,0.585,Medium_Recommendation
USR_10048,BK_50048,Research_Scholar,Law,Education,E_Book,Renewed,Digital_Kiosk,Odd_Semester,21,77.9,17,6,74,7,0,6,4.39,0.21,0.889,0.679,0.734,0.92,High,No,No,0.529,Medium_Recommendation
USR_10049,BK_50049,Research_Scholar,Management,Digital_Library,Journal,Viewed,Digital_Kiosk,Odd_Semester,37,78.42,29,8,53,44,2,3,4.9,0.802,0.203,0.609,0.987,0.524,Medium,No,No,0.621,Medium_Recommendation
USR_10050,BK_50050,Undergraduate,Science,Law,Reference_Book,Reserved,Library_System,Odd_Semester,39,45.5,21,10,4,26,12,1,2.09,0.117,0.923,0.206,0.619,0.347,Low,No,No,0.494,Medium_Recommendation
USR_10051,BK_50051,Postgraduate,Medicine,Literature,Printed_Book,Reserved,Mobile_App,Odd_Semester,3,162.8,0,2,40,98,11,12,3.66,0.258,0.923,0.133,0.445,0.567,Medium,Yes,No,0.615,Medium_Recommendation
USR_10052,BK_50052,Faculty,Engineering,Social_Science,Printed_Book,Reviewed,Web_Portal,Vacation_Period,36,131.68,34,33,55,111,4,7,1.86,0.128,0.336,0.636,0.146,0.547,Medium,No,No,0.554,Medium_Recommendation
